"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.822718708E0,-2.724334717E-2,-2.993774414E-4,9.850865021E0
1.832731708E0,-1.930984497E-2,4.939727783E-3,9.847422180E0
1.842745708E0,-2.454895020E-2,3.442840576E-3,9.850415955E0
1.852759708E0,-2.110610962E-2,-3.143463135E-3,9.839788055E0
1.862772708E0,-2.963836670E-2,-2.395019531E-3,9.852661285E0
1.872786708E0,-2.200424194E-2,1.182540894E-2,9.844428406E0
1.882800708E0,-2.903961182E-2,7.484436035E-3,9.841734009E0
1.892814708E0,-3.083587646E-2,-8.981323242E-4,9.841883698E0
1.902827708E0,-3.233276367E-2,4.490661621E-4,9.841434631E0
1.912841708E0,-3.068618774E-2,1.496887207E-3,9.848470001E0
1.922855708E0,-2.335144043E-2,-2.993774414E-4,9.851314087E0
1.932868708E0,-2.709365845E-2,1.646575928E-3,9.846823425E0
1.942882708E0,-2.604583740E-2,2.395019531E-3,9.833800507E0
1.952896708E0,-2.140548706E-2,3.293151855E-3,9.848470001E0
1.962910708E0,-2.095642090E-2,2.993774414E-3,9.852212219E0
1.972923708E0,-2.844085693E-2,-2.993774414E-4,9.845176849E0
1.982937708E0,-2.709365845E-2,-3.592529297E-3,9.844877472E0
1.992951708E0,-3.817062378E-2,-2.993774414E-4,9.850865021E0
2.002964708E0,-2.514770508E-2,2.395019531E-3,9.851014709E0
2.012978708E0,-2.200424194E-2,7.035369873E-3,9.842781830E0
2.022992708E0,-2.484832764E-2,8.981323242E-3,9.837243347E0
2.033005708E0,-1.960922241E-2,1.137634277E-2,9.846524048E0
2.043019708E0,-2.784210205E-2,6.586303711E-3,9.834548950E0
2.053033708E0,-1.960922241E-2,1.197509766E-2,9.839638367E0
2.063047708E0,-2.844085693E-2,6.286926270E-3,9.853260040E0
2.073061042E0,-3.248245239E-2,4.041595459E-3,9.844727783E0
2.083075042E0,-3.218307495E-2,-4.191284180E-3,9.840985565E0
2.093089042E0,-2.978805542E-2,6.137237549E-3,9.845027161E0
2.103102042E0,-2.395019531E-2,1.227447510E-2,9.839338989E0
2.113116042E0,-3.113525391E-2,2.694396973E-3,9.838291168E0
2.123130042E0,-2.559677124E-2,2.245330811E-3,9.846524048E0
2.133144042E0,-2.859054565E-2,1.945953369E-3,9.851014709E0
2.143157042E0,-2.933898926E-2,-1.047821045E-3,9.857900391E0
2.153171042E0,-1.930984497E-2,1.047821045E-3,9.846524048E0
2.163185042E0,-1.826202393E-2,7.334747314E-3,9.845925293E0
2.173198042E0,-3.353027344E-2,6.586303711E-3,9.846673737E0
2.183212042E0,-2.933898926E-2,1.347198486E-3,9.849218445E0
2.193226042E0,-2.409988403E-2,9.131011963E-3,9.843979340E0
2.203240042E0,-2.933898926E-2,7.334747314E-3,9.849667511E0
2.213253042E0,-1.826202393E-2,2.993774414E-4,9.834998016E0
2.223267042E0,-2.454895020E-2,2.544708252E-3,9.838291168E0
2.233281042E0,-2.978805542E-2,4.041595459E-3,9.839338989E0
2.243294042E0,-3.068618774E-2,1.496887207E-3,9.835896149E0
2.253308042E0,-2.739303589E-2,-0.000000000E0,9.836345215E0
2.263322042E0,-2.799179077E-2,5.987548828E-3,9.844578094E0
2.273336042E0,-3.053649902E-2,1.796264648E-3,9.852810974E0
2.283349042E0,-2.694396973E-2,4.640350342E-3,9.845476227E0
2.293363042E0,-2.110610962E-2,1.197509766E-3,9.845775604E0
2.303377042E0,-3.083587646E-2,7.634124756E-3,9.843081207E0
2.313390042E0,-2.888992310E-2,-1.945953369E-3,9.840237122E0
2.323404042E0,-2.065704346E-2,4.490661621E-4,9.843230896E0
2.333418042E0,-1.826202393E-2,5.837860107E-3,9.840087433E0
2.343432042E0,-2.454895020E-2,-7.484436035E-4,9.843679962E0
2.353445042E0,-3.008743286E-2,8.981323242E-4,9.840386810E0
2.363459042E0,-2.365081787E-2,3.891906738E-3,9.847571869E0
2.373473042E0,-2.634521484E-2,7.484436035E-4,9.855505371E0
2.383486042E0,-2.125579834E-2,7.484436035E-4,9.851763153E0
2.393500042E0,-2.903961182E-2,5.688171387E-3,9.849966888E0
2.403514042E0,-2.948867798E-2,4.490661621E-3,9.843829651E0
2.413528042E0,-3.188369751E-2,2.544708252E-3,9.841883698E0
2.423541042E0,-2.888992310E-2,4.041595459E-3,9.840985565E0
2.433555042E0,-2.260299683E-2,5.837860107E-3,9.841883698E0
2.443569042E0,-2.918930054E-2,4.939727783E-3,9.851014709E0
2.453582042E0,-2.739303589E-2,8.981323242E-4,9.844428406E0
2.463596042E0,-2.290237427E-2,1.945953369E-3,9.848619690E0
2.473610042E0,-2.499801636E-2,8.382568359E-3,9.850715332E0
2.483624042E0,-2.529739380E-2,6.735992432E-3,9.844877472E0
2.493637042E0,-2.993774414E-2,8.083190918E-3,9.842482452E0
2.503651042E0,-2.709365845E-2,4.640350342E-3,9.837842102E0
2.513665042E0,-2.005828857E-2,8.681945801E-3,9.839338989E0
2.523678042E0,-2.574645996E-2,8.981323242E-4,9.841883698E0
2.533692042E0,-2.814147949E-2,6.735992432E-3,9.864187317E0
2.543706042E0,-3.023712158E-2,3.742218018E-3,9.845476227E0
2.553720042E0,-3.053649902E-2,-2.993774414E-3,9.843380585E0
2.563733042E0,-2.245330811E-2,6.436614990E-3,9.850565643E0
2.573747042E0,-2.230361938E-2,7.484436035E-4,9.842033386E0
2.583761042E0,-1.811233521E-2,-1.496887207E-4,9.850266266E0
2.593774042E0,-2.035766602E-2,1.451980591E-2,9.836345215E0
2.603788042E0,-3.293151855E-2,8.083190918E-3,9.826465759E0
2.613802042E0,-2.335144043E-2,5.837860107E-3,9.844278717E0
2.623816042E0,-2.185455322E-2,-1.197509766E-3,9.843380585E0
2.633829042E0,-2.409988403E-2,1.197509766E-2,9.839039612E0
2.643843042E0,-2.694396973E-2,5.089416504E-3,9.841284943E0
2.653857042E0,-3.188369751E-2,4.490661621E-3,9.830657043E0
2.663870042E0,-1.886077881E-2,-2.993774414E-3,9.835147705E0
2.673884042E0,-2.963836670E-2,3.742218018E-3,9.849817200E0
2.683898042E0,-2.814147949E-2,-5.987548828E-3,9.844278717E0
2.693912042E0,-2.005828857E-2,1.047821045E-3,9.859097900E0
2.703925042E0,-1.586700439E-2,-7.185058594E-3,9.873318329E0
2.713939042E0,-2.140548706E-2,-2.245330811E-3,9.859546967E0
2.723953042E0,-2.888992310E-2,-2.095642090E-3,9.851763153E0
2.733966042E0,-2.619552612E-2,-1.945953369E-3,9.849368134E0
2.743980042E0,-2.035766602E-2,6.436614990E-3,9.837243347E0
2.753994042E0,-2.844085693E-2,3.143463135E-3,9.835147705E0
2.764008042E0,-2.305206299E-2,5.688171387E-3,9.839638367E0
2.774021042E0,-2.589614868E-2,-1.347198486E-3,9.845476227E0
2.784035042E0,-2.395019531E-2,1.197509766E-3,9.840386810E0
2.794049042E0,-2.469863892E-2,4.340972900E-3,9.843081207E0
2.804062042E0,-2.335144043E-2,7.484436035E-4,9.843530273E0
2.814076042E0,-2.230361938E-2,-2.844085693E-3,9.842931519E0
2.824090042E0,-1.706451416E-2,5.089416504E-3,9.843230896E0
2.834104042E0,-2.769241333E-2,-5.987548828E-4,9.850415955E0
2.844117042E0,-2.350112915E-2,3.143463135E-3,9.848919067E0
2.854131042E0,-2.424957275E-2,1.257385254E-2,9.848619690E0
2.864145042E0,-2.963836670E-2,-8.981323242E-4,9.857301636E0
2.874158042E0,-1.796264648E-2,4.640350342E-3,9.845027161E0
2.884172042E0,-1.781295776E-2,8.681945801E-3,9.840835876E0
2.894186042E0,-2.499801636E-2,3.442840576E-3,9.844129028E0
2.904199042E0,-2.634521484E-2,6.286926270E-3,9.843230896E0
2.914213042E0,-3.053649902E-2,3.143463135E-3,9.843380585E0
2.924227042E0,-2.215393066E-2,5.987548828E-3,9.843081207E0
2.934241042E0,-2.035766602E-2,1.945953369E-3,9.842632141E0
2.944254042E0,-1.975891113E-2,-1.496887207E-4,9.839338989E0
2.954268042E0,-3.143463135E-2,-1.496887207E-3,9.842183075E0
2.964282042E0,-3.308120728E-2,1.017883301E-2,9.844428406E0
2.974295042E0,-3.128494263E-2,1.137634277E-2,9.846673737E0
2.984309042E0,-3.098556519E-2,2.395019531E-3,9.852361908E0
2.994323042E0,-2.589614868E-2,-3.442840576E-3,9.833351440E0
3.004337042E0,-2.215393066E-2,6.286926270E-3,9.842632141E0
3.014350042E0,-2.454895020E-2,1.032852173E-2,9.845176849E0
3.024364042E0,-2.005828857E-2,1.062789917E-2,9.839039612E0
3.034378042E0,-2.844085693E-2,1.002914429E-2,9.841135254E0
3.044391042E0,-2.260299683E-2,-2.395019531E-3,9.845925293E0
3.054405042E0,-2.604583740E-2,-1.496887207E-3,9.850415955E0
3.064419042E0,-2.065704346E-2,3.143463135E-3,9.850266266E0
3.074432792E0,-2.080673218E-2,-2.395019531E-3,9.829908600E0
3.084445792E0,-2.230361938E-2,-1.347198486E-3,9.845176849E0
3.094459792E0,-2.918930054E-2,1.347198486E-3,9.836045837E0
3.104473792E0,-2.739303589E-2,2.395019531E-3,9.837842102E0
3.114486792E0,-2.499801636E-2,1.212478638E-2,9.847272491E0
3.124500792E0,-3.098556519E-2,3.891906738E-3,9.844578094E0
3.134514792E0,-2.948867798E-2,3.293151855E-3,9.851314087E0
3.144528792E0,-2.888992310E-2,1.047821045E-3,9.848320312E0
3.154541792E0,-2.454895020E-2,3.293151855E-3,9.847122803E0
3.164555792E0,-2.679428101E-2,2.993774414E-4,9.852960663E0
3.174569792E0,-3.278182983E-2,1.197509766E-3,9.841434631E0
3.184582792E0,-2.933898926E-2,5.837860107E-3,9.842781830E0
3.194596792E0,-2.799179077E-2,-7.484436035E-4,9.852062531E0
3.204610792E0,-2.020797729E-2,2.993774414E-3,9.852062531E0
3.214624792E0,-2.574645996E-2,-1.197509766E-3,9.848619690E0
3.224637792E0,-2.829116821E-2,6.885681152E-3,9.839937744E0
3.234651792E0,-2.275268555E-2,6.735992432E-3,9.844578094E0
3.244665792E0,-2.754272461E-2,1.796264648E-3,9.843679962E0
3.254678792E0,-2.514770508E-2,7.484436035E-4,9.841434631E0
3.264692792E0,-3.008743286E-2,7.185058594E-3,9.844129028E0
3.274706792E0,-2.589614868E-2,-1.496887207E-4,9.844727783E0
3.284720792E0,-2.604583740E-2,1.347198486E-3,9.844727783E0
3.294733792E0,-2.859054565E-2,6.436614990E-3,9.846524048E0
3.304747792E0,-2.290237427E-2,-5.987548828E-4,9.843230896E0
3.314761792E0,-2.664459229E-2,1.796264648E-3,9.841284943E0
3.324774792E0,-2.649490356E-2,2.245330811E-3,9.846374359E0
3.334788792E0,-2.574645996E-2,4.490661621E-4,9.847122803E0
3.344802792E0,-2.439926147E-2,8.083190918E-3,9.846823425E0
3.354815792E0,-3.248245239E-2,2.844085693E-3,9.845176849E0
3.364829792E0,-3.023712158E-2,-2.095642090E-3,9.850266266E0
3.374843792E0,-2.948867798E-2,7.185058594E-3,9.846673737E0
3.384857792E0,-2.080673218E-2,3.143463135E-3,9.845925293E0
3.394870792E0,-2.050735474E-2,1.197509766E-3,9.842781830E0
