"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.448576042E0,-2.266806793E1,7.163553238E-1,-5.108602905E1
2.458589042E0,-2.270839691E1,6.570264101E-1,-5.111788940E1
2.468603042E0,-2.272847748E1,6.814578772E-1,-5.113720703E1
2.478617042E0,-2.292885590E1,6.818071604E-1,-5.066195679E1
2.488630042E0,-2.283123016E1,7.103972435E-1,-5.053604126E1
2.498644042E0,-2.297205353E1,8.603875637E-1,-5.099435425E1
2.508658042E0,-2.272832489E1,8.620539308E-1,-5.115374756E1
2.518672042E0,-2.272982025E1,7.063204050E-1,-5.093423462E1
2.528685042E0,-2.268811798E1,5.701172352E-1,-5.118951416E1
2.538699042E0,-2.276703644E1,7.460591793E-1,-5.098162842E1
2.548713042E0,-2.257198334E1,6.888952255E-1,-5.110040283E1
2.558726042E0,-2.257253265E1,5.092024803E-1,-5.099234009E1
2.568740042E0,-2.264546967E1,7.254474163E-1,-5.067715454E1
2.578754042E0,-2.276581573E1,5.412847996E-1,-5.094857788E1
2.588768042E0,-2.290787506E1,6.459623575E-1,-5.046115112E1
2.598781042E0,-2.268241119E1,7.236539125E-1,-5.078765869E1
2.608795042E0,-2.289684296E1,5.993276834E-1,-5.090612793E1
2.618809042E0,-2.277916718E1,5.756888390E-1,-5.121908569E1
2.628822042E0,-2.245659637E1,5.021660328E-1,-5.110690308E1
2.638836042E0,-2.256830597E1,6.206161976E-1,-5.070294189E1
2.648850042E0,-2.250232697E1,5.365118980E-1,-5.122537231E1
2.658864042E0,-2.250366974E1,4.349622726E-1,-5.121026611E1
2.668877042E0,-2.263681793E1,7.705343962E-1,-5.111410522E1
2.678891042E0,-2.262448883E1,6.502213478E-1,-5.132986450E1
2.688905042E0,-2.255796051E1,6.746088266E-1,-5.086477661E1
2.698918042E0,-2.259806061E1,7.838981152E-1,-5.099392700E1
2.708932042E0,-2.251824188E1,8.117608428E-1,-5.095635986E1
2.718946042E0,-2.262319183E1,7.519025803E-1,-5.107376099E1
2.728959042E0,-2.265648651E1,4.131283760E-1,-5.141961670E1
2.738973042E0,-2.252724457E1,6.186680794E-1,-5.112597656E1
2.748987042E0,-2.239095306E1,5.703537464E-1,-5.134646606E1
2.759001042E0,-2.236884308E1,6.363224983E-1,-5.127062988E1
2.769014042E0,-2.262003326E1,5.838600397E-1,-5.164321899E1
2.779028042E0,-2.248323822E1,8.037972450E-1,-5.092266846E1
2.789042042E0,-2.247631073E1,6.577888727E-1,-5.088388062E1
2.799055042E0,-2.236118317E1,7.333838940E-1,-5.098840332E1
2.809069042E0,-2.255799103E1,8.591903448E-1,-5.103494263E1
2.819083042E0,-2.262067413E1,3.629288673E-1,-5.109338379E1
2.829097042E0,-2.251854706E1,4.396040440E-1,-5.092776489E1
2.839110042E0,-2.259914398E1,6.005507708E-1,-5.084603882E1
2.849124042E0,-2.246135712E1,7.083497047E-1,-5.069448853E1
2.859138042E0,-2.276998138E1,6.413103342E-1,-5.054064941E1
2.869151042E0,-2.257695770E1,6.875952482E-1,-5.085021973E1
2.879165042E0,-2.274411774E1,6.057665348E-1,-5.079302979E1
2.889179042E0,-2.271120453E1,6.406922340E-1,-5.109515381E1
2.899193042E0,-2.256850433E1,7.318146229E-1,-5.077062988E1
2.909206042E0,-2.256850433E1,7.318146229E-1,-5.077062988E1
2.919220042E0,-2.276058197E1,7.936298251E-1,-5.092092896E1
2.929234042E0,-2.267592621E1,8.336554170E-1,-5.095373535E1
2.939247042E0,-2.280500031E1,6.995805502E-1,-5.032052612E1
2.949261042E0,-2.268866730E1,8.098026514E-1,-5.036804199E1
2.959275042E0,-2.284954071E1,8.198867440E-1,-5.079272461E1
2.969289042E0,-2.256151581E1,8.922151923E-1,-5.064816284E1
2.979302042E0,-2.267288971E1,4.730935097E-1,-5.091308594E1
2.989316042E0,-2.253800201E1,6.968533993E-1,-5.074453735E1
2.999330042E0,-2.277478790E1,6.798248291E-1,-5.071871948E1
3.009343042E0,-2.255609894E1,6.838202477E-1,-5.090112305E1
3.019357042E0,-2.252800751E1,6.755368710E-1,-5.104779053E1
3.029371042E0,-2.243880463E1,7.235238552E-1,-5.063452148E1
3.039385042E0,-2.234970856E1,8.774956465E-1,-5.042544556E1
3.049398042E0,-2.248554230E1,8.625130057E-1,-5.067608643E1
3.059412042E0,-2.261275482E1,8.410233855E-1,-5.065274048E1
3.069426042E0,-2.265059662E1,6.644867659E-1,-5.069680786E1
3.079438792E0,-2.256029510E1,6.681786776E-1,-5.054840088E1
3.089452792E0,-2.266962433E1,7.661088705E-1,-5.094522095E1
3.099466792E0,-2.270339203E1,8.332564831E-1,-5.095703125E1
3.109480792E0,-2.264208221E1,9.985542893E-1,-5.111859131E1
3.119493792E0,-2.257125092E1,7.253134251E-1,-5.085391235E1
3.129507792E0,-2.274996185E1,6.878374815E-1,-5.094049072E1
3.139521792E0,-2.290883636E1,6.549355984E-1,-5.087167358E1
3.149534792E0,-2.295116425E1,7.324954271E-1,-5.132015991E1
3.159548792E0,-2.277848053E1,5.955237150E-1,-5.102471924E1
3.169562792E0,-2.270803070E1,6.478197575E-1,-5.092712402E1
3.179576792E0,-2.280759430E1,7.601944208E-1,-5.097686768E1
3.189589792E0,-2.251015472E1,8.157668114E-1,-5.084921265E1
3.199603792E0,-2.287758636E1,7.186682224E-1,-5.105007935E1
3.209617792E0,-2.258068085E1,7.133234739E-1,-5.069284058E1
3.219630792E0,-2.269147491E1,7.017049789E-1,-5.092065430E1
3.229644792E0,-2.263483429E1,5.733228922E-1,-5.106811523E1
3.239658792E0,-2.258034515E1,5.667812824E-1,-5.064871216E1
3.249672792E0,-2.257767487E1,5.352278948E-1,-5.085702515E1
3.259685792E0,-2.275261688E1,3.041070700E-1,-5.066952515E1
3.269699792E0,-2.270833588E1,6.466405392E-1,-5.115051270E1
3.279713792E0,-2.273377228E1,4.986172915E-1,-5.081423950E1
3.289726792E0,-2.242795563E1,8.109307289E-1,-5.042092896E1
3.299740792E0,-2.250153351E1,7.541223764E-1,-5.062469482E1
3.309754792E0,-2.265802765E1,5.279304981E-1,-5.091674805E1
3.319768792E0,-2.261919403E1,4.985071421E-1,-5.131723022E1
3.329781792E0,-2.271089935E1,6.239084005E-1,-5.117263794E1
3.339795792E0,-2.260279083E1,4.491275549E-1,-5.105603027E1
3.349809792E0,-2.258536530E1,6.772607565E-1,-5.099621582E1
3.359822792E0,-2.260912323E1,7.094308138E-1,-5.109213257E1
3.369836792E0,-2.254029083E1,8.931661248E-1,-5.082308960E1
3.379850792E0,-2.253916168E1,8.510465622E-1,-5.063259888E1
3.389863792E0,-2.247473907E1,1.018026590E0,-5.036026001E1
3.399877792E0,-2.256987762E1,7.751962543E-1,-5.027621460E1
3.409891792E0,-2.266780853E1,7.968399525E-1,-5.065844727E1
3.419905792E0,-2.249909210E1,5.935220718E-1,-5.071124268E1
3.429918792E0,-2.258683014E1,6.448594332E-1,-5.101004028E1
3.439932792E0,-2.257480621E1,5.755375624E-1,-5.071856689E1
3.449946792E0,-2.253420258E1,6.103550196E-1,-5.086428833E1
3.459959792E0,-2.277469635E1,6.742548943E-1,-5.051794434E1
3.469973792E0,-2.271782684E1,8.175277710E-1,-5.084490967E1
3.479987792E0,-2.249175262E1,5.221467018E-1,-5.110559082E1
3.490001792E0,-2.252657318E1,4.860759974E-1,-5.098526001E1
3.500014792E0,-2.255728912E1,3.774787188E-1,-5.088528442E1
3.510028792E0,-2.243640900E1,5.661351681E-1,-5.099407959E1
3.520042792E0,-2.235791779E1,6.994169950E-1,-5.089471436E1
3.530055792E0,-2.225679779E1,6.310395002E-1,-5.097253418E1
3.540069792E0,-2.253350067E1,6.670755148E-1,-5.058911133E1
3.550083792E0,-2.265990448E1,4.933644533E-1,-5.080236816E1
3.560097792E0,-2.244322968E1,6.248025894E-1,-5.098843384E1
3.570110792E0,-2.241904449E1,4.569904804E-1,-5.071127319E1
3.580124792E0,-2.239948273E1,5.794972181E-1,-5.057614136E1
3.590138792E0,-2.254593658E1,5.914729834E-1,-5.093218994E1
3.600151792E0,-2.253670502E1,7.018363476E-1,-5.087976074E1
3.610165792E0,-2.265364838E1,7.618466616E-1,-5.086724854E1
3.620179792E0,-2.266954803E1,8.364862204E-1,-5.086227417E1
3.630193792E0,-2.261995697E1,8.755442500E-1,-5.081582642E1
3.640206792E0,-2.267562103E1,7.339020967E-1,-5.040048218E1
3.650220792E0,-2.262807465E1,6.907949448E-1,-5.092672729E1
3.660234792E0,-2.260404205E1,7.498949766E-1,-5.046859741E1
3.670247792E0,-2.253920746E1,7.852835059E-1,-5.064950562E1
3.680261792E0,-2.247341156E1,7.713948488E-1,-5.074841309E1
3.690275792E0,-2.237303925E1,5.446902514E-1,-5.066744995E1
3.700289792E0,-2.245586395E1,6.364740133E-1,-5.061437988E1
3.710302792E0,-2.252651215E1,3.825031519E-1,-5.063916016E1
3.720316792E0,-2.239865875E1,6.577421427E-1,-5.068322754E1
3.730330792E0,-2.230725861E1,8.842951059E-1,-5.081228638E1
3.740343792E0,-2.231414032E1,7.846413851E-1,-5.065057373E1
3.750357792E0,-2.261228180E1,8.766496181E-1,-5.081378174E1
3.760371792E0,-2.254602814E1,6.736766100E-1,-5.063116455E1
3.770384792E0,-2.255675507E1,7.636674643E-1,-5.067416382E1
3.780398792E0,-2.257906342E1,6.250158548E-1,-5.026538086E1
3.790412792E0,-2.255858612E1,6.606671810E-1,-5.037765503E1
3.800426792E0,-2.255710602E1,1.175438404E0,-5.048220825E1
3.810439792E0,-2.228058624E1,1.017958641E0,-5.032028198E1
3.820453792E0,-2.238715363E1,8.731151819E-1,-5.072164917E1
3.830467792E0,-2.230005646E1,8.244357109E-1,-5.073324585E1
3.840480792E0,-2.246955109E1,7.152626514E-1,-5.064291382E1
3.850494792E0,-2.227687836E1,7.496869564E-1,-5.060659790E1
3.860508792E0,-2.231026459E1,7.106134892E-1,-5.043795776E1
3.870522792E0,-2.224956512E1,6.379485130E-1,-5.073184204E1
3.880535792E0,-2.221349335E1,7.497766018E-1,-5.062695312E1
3.890549792E0,-2.238468170E1,7.573049068E-1,-5.062026978E1
3.900563792E0,-2.250354767E1,8.151409030E-1,-5.023718262E1
3.910576792E0,-2.246781158E1,9.122270942E-1,-5.043496704E1
3.920590792E0,-2.236425018E1,7.998720407E-1,-5.048825073E1
3.930604792E0,-2.241538239E1,8.870646358E-1,-4.993814087E1
3.940618792E0,-2.245677948E1,8.607827425E-1,-5.040191650E1
3.950631792E0,-2.245677948E1,8.607827425E-1,-5.040191650E1
3.960645792E0,-2.225609589E1,9.089851379E-1,-5.052822876E1
3.970659792E0,-2.234952545E1,9.067011476E-1,-5.086694336E1
3.980672792E0,-2.248542023E1,1.031028271E0,-5.087561035E1
3.990686792E0,-2.216594696E1,8.775772452E-1,-5.047482300E1
