"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.068054708E0,-8.180662990E-4,9.386711754E-4,-6.831600331E-4
2.078068042E0,1.205933280E-3,7.928705309E-4,3.595920280E-4
2.088082042E0,-6.513549015E-4,1.055458328E-3,-1.812959090E-4
2.098096042E0,-1.188856084E-3,1.538195414E-3,-7.468154654E-4
2.108109042E0,-1.111891121E-3,-7.300190628E-4,3.012768924E-3
2.118123042E0,-3.997925669E-4,4.867659882E-4,-4.008081742E-4
2.128137042E0,-1.655472908E-3,-1.396621577E-3,-1.437576953E-3
2.138150042E0,-2.896517981E-3,-7.241633721E-4,-2.059597056E-3
2.148164042E0,-2.121005673E-3,7.640109397E-4,-2.113925759E-3
2.158178042E0,1.242979430E-3,-8.908158634E-4,-7.512234151E-5
2.168192042E0,4.548494704E-3,-9.772647172E-5,-1.542524435E-3
2.178205042E0,-9.729913436E-4,-4.786821082E-4,-1.719349064E-3
2.188219042E0,1.093887724E-3,-6.967950612E-4,1.784039196E-3
2.198233042E0,1.486409456E-3,-3.888588399E-4,5.857767537E-4
2.208246042E0,6.632264704E-4,-2.746796235E-5,-2.207346726E-3
2.218260042E0,3.622058779E-3,-1.741694054E-3,-2.037128434E-5
2.228274042E0,3.327885643E-4,-9.613877628E-4,1.316003036E-3
2.238288042E0,3.807207569E-3,-3.573396243E-4,-1.538968645E-4
2.248301042E0,2.477757633E-3,-6.375040393E-4,-6.644250825E-4
2.258315042E0,-3.724879120E-3,-6.865509786E-4,-9.623630904E-4
2.268329042E0,3.550077789E-3,-2.653029282E-3,-2.046939917E-4
2.278342042E0,1.627669670E-3,5.880757235E-4,1.345756929E-3
2.288356042E0,-1.441314816E-4,4.914030433E-4,1.059200615E-3
2.298370042E0,-6.564706564E-5,-6.328243762E-4,9.540980682E-5
2.308384042E0,1.490971074E-3,-1.746558235E-3,-9.738490917E-4
2.318397042E0,-9.975722060E-4,-1.788911643E-3,6.515104324E-4
2.328411042E0,1.037881710E-3,-8.370978758E-4,-9.474516846E-4
2.338425042E0,3.564412706E-3,-9.040287696E-4,3.457958810E-4
2.348438042E0,5.467850715E-4,-8.407747373E-6,-3.877095878E-6
2.358452042E0,-1.859243959E-3,-1.300544245E-3,3.230413422E-4
2.368466042E0,2.447620034E-3,1.008416293E-3,2.303900663E-3
2.378480042E0,-1.507846639E-3,-6.304872222E-4,1.373449340E-4
2.388493042E0,-2.745683771E-3,1.192180207E-3,3.414098406E-3
2.398507042E0,2.333764918E-3,1.541660400E-3,-1.637943089E-3
2.408521042E0,9.358720854E-4,-1.928564161E-4,2.475841669E-3
2.418534042E0,1.636829227E-3,-6.323687267E-4,3.341681790E-3
2.428548042E0,-9.023025632E-5,-2.328944393E-4,3.640013747E-4
2.438562042E0,8.210297674E-4,2.229202073E-4,-6.023892201E-4
2.448576042E0,2.069518901E-3,-8.021304384E-4,-6.922427565E-5
